semester,crn,full_number,number,title,seats_available,seats_total,location,day_of_week,start,end
Fall%202015,16305,PLME1000-S01,PLME1000,PLME Senior Seminar in Scientific Medicine,-4,40,Wilson Hall 101,M,30600,35400
Fall%202015,16598,UNIV0456-S01,UNIV0456,Stages of the Contemplative Path,988,999,Wilson Hall 309,T,32400,37200
Fall%202015,16207,UNIV1700-S01,UNIV1700,Transformation of the Research University,15,20,Giddings House 114,W,54000,63000
Fall%202015,17160,UNIV1950-S01,UNIV1950,Capstone Seminar in Contemplative Studies,34,40,59 George St- S. Miller House 101,T,66600,75600
Fall%202015,16124,TAPS0030-S02,TAPS0030,Introduction to Acting and Directing,8,18,Lyman Hall 007,T,54000,62400
Fall%202015,16138,TAPS0100-S01,TAPS0100,Playwriting I,2,14,Lyman Hall 007,F,36000,46200
Fall%202015,16140,TAPS0100-S02,TAPS0100,Playwriting I,-1,14,Churchill House 106,T,46800,51600
Fall%202015,16123,TAPS0030-S01,TAPS0030,Introduction to Acting and Directing,-1,18,Stuart Theatre STRASBERG,T,34200,42600
Fall%202015,16141,TAPS0200-S01,TAPS0200,Playwriting II,7,14,Lyman Hall 005,T,46800,57000
Fall%202015,16130,TAPS0220-S02,TAPS0220,Persuasive Communication,0,18,Lyman Hall 007,M,46800,57000
Fall%202015,16129,TAPS0220-S01,TAPS0220,Persuasive Communication,2,18,Lyman Hall 007,M,32400,42600
Fall%202015,16133,TAPS0220-S05,TAPS0220,Persuasive Communication,6,18,Lyman Hall 211,M,32400,42600
Fall%202015,16131,TAPS0220-S03,TAPS0220,Persuasive Communication,3,18,Lyman Hall 005,M,32400,42600
Fall%202015,16132,TAPS0220-S04,TAPS0220,Persuasive Communication,4,18,Lyman Hall 005,M,46800,57000
Fall%202015,15989,SLAV1300-S01,SLAV1300,Sociolinguistics (with Case Studies on the Former USSR and Eastern Europe),13,20,J. Walter Wilson 201,F,54000,63000
Fall%202015,16581,SLAV1250-S01,SLAV1250,Polish Culture Through Film,995,999, ,R,57600,68400
Fall%202015,14860,SIGN0500-S01,SIGN0500,American Sign Language V,13,18,Smith-Buonanno Hall G01,T,52200,57000
Fall%202015,14857,SIGN0100-S01,SIGN0100,"American Sign Language I, II",3,18,Wilson Hall 205,M,39600,42600
Fall%202015,14859,SIGN0300-S01,SIGN0300,American Sign Language III,5,18,Smith-Buonanno Hall G01,T,46800,51600
Fall%202015,17146,SIGN0100-S02,SIGN0100,"American Sign Language I, II",6,18,Sayles Hall 300,M,32400,35400
Fall%202015,15429,SOC0010-S01,SOC0010,Social Problems,944,999,Wilson Hall 302,T,52200,57000
Fall%202015,16819,SOC0150-S01,SOC0150,Economic Development and Social Change,93,128,Smith-Buonanno Hall 106,M,43200,46200
Fall%202015,15520,SOC0230-S01,SOC0230,"Sex, Gender, and Society",928,999,Wilson Hall 302,M,32400,35400
Fall%202015,15431,SOC1010-S01,SOC1010,Classical Sociological Theory,959,999,Bio Med Center 291,T,32400,37200
Fall%202015,15434,SOC1117-S01,SOC1117,Focus Groups for Market and Social Research ,963,999,Wilson Hall 309,M,30600,35400
Fall%202015,16808,RUSS1019-S01,RUSS1019,Revolution in Russian Women's Writing,25,30,Sayles Hall 204,M,46800,49800
Fall%202015,15987,RUSS0100-S01,RUSS0100,Introductory Russian,8,18,Wilson Hall 305,M,32400,35400
Fall%202015,15988,RUSS0300-S01,RUSS0300,Intermediate Russian,18,18,Wilson Hall 109,T,34200,37200
Fall%202015,15997,RUSS0320E-S01,RUSS0320E,Crime and Punishment through Literature,5,20,111 Thayer St-Watson Institute 138,M,54000,63000
Fall%202015,16176,RUSS0100-S02,RUSS0100,Introductory Russian,7,18,Sayles Hall 005,M,36000,39000
Fall%202015,16177,RUSS0300-S02,RUSS0300,Intermediate Russian,7,18,Wilson Hall 203,M,39600,42600
Fall%202015,15986,RUSS0500-S01,RUSS0500,Advanced Russian,3,18,Wilson Hall 109,M,39600,42600
Fall%202015,16815,RUSS1110-S01,RUSS1110,Special Topics in Russian Studies I: Advanced Reading and Conversation,9,18,Wilson Hall 303,M,43200,46200
Fall%202015,15995,RUSS1250-S01,RUSS1250,Russian Cinema,8,20,J. Walter Wilson 502,R,57600,66600
Fall%202015,16845,RUSS1900-S01,RUSS1900,Russian Jewish Literature and Film,14,20,J. Walter Wilson 503,T,57600,66600
Fall%202015,15535,POBS0100-S01,POBS0100,Elementary Portuguese,992,999,Wilson Hall 205,T,46800,51600
Fall%202015,15538,POBS0610-S01,POBS0610,Mapping Portuguese-Speaking Cultures: Brazil,990,999,J. Walter Wilson 402,T,46800,51600
Fall%202015,15537,POBS0400-S01,POBS0400,Writing and Speaking Portuguese,985,999,Smith-Buonanno Hall 101,M,39600,46200
Fall%202015,15546,POBS0110-S02,POBS0110,Intensive Portuguese,986,999,Salomon Center 203,T,37800,42600
Fall%202015,16909,POBS1601G-S01,POBS1601G,The Politics and Government of Lusophone Countries,39,40,159 George St-Meiklejohn House 102,F,36000,45000
Fall%202015,16267,POBS0850-S01,POBS0850,Comparative Approaches to the Literatures of Brazil and the United States,11,15,Salomon Center 004,M,54000,63000
Fall%202015,16775,POBS1501A-S01,POBS1501A,Out of Portuguese Africa: Deconstructing Portuguese Colonialism in Literature,32,40,159 George St-Meiklejohn House 102,R,57600,66600
Fall%202015,15542,POBS0910-S01,POBS0910,On the Dawn of Modernity,10,20,159 George St-Meiklejohn House 102,M,54000,63000
Fall%202015,16263,PLSH0300-S01,PLSH0300,Intermediate Polish,13,18,Sayles Hall 305,M,39600,42600
Fall%202015,16262,PLSH0100-S01,PLSH0100,Introductory Polish,997,999,Sayles Hall 305,M,36000,39000
Fall%202015,15090,PHIL0030-S01,PHIL0030,Skepticism and Knowledge,980,999,Rockefeller Library 412,T,46800,51600
Fall%202015,15592,PHIL0300C-S01,PHIL0300C,Unacceptable Conclusions: Arguments Against Common Sense,978,999,Sayles Hall 204,T,32400,37200
Fall%202015,15083,PHIL0350-S01,PHIL0350,Ancient Philosophy,959,999,Salomon Center 202,M,43200,46200
Fall%202015,15081,PHIL0450-S01,PHIL0450,The Meaning of Life,935,999,S. Frank Hall for Life Science MARC,M,39600,42600
Fall%202015,15103,PHIL0390-S01,PHIL0390,Global Justice,976,999,101 Thayer Street (VGQ 1st fl) 116E,M,50400,53400
Fall%202015,15527,PHIL0220-S01,PHIL0220,Introduction to Philosophy,970,999,Sayles Hall 204,M,32400,35400
Fall%202015,15085,PHIL0060-S01,PHIL0060,Modern Science and Human Values,896,999,List Art Center 120,M,46800,49800
Fall%202015,15089,PHIL0500-S01,PHIL0500,Moral Philosophy,974,999,Salomon Center 203,T,46800,51600
Fall%202015,17040,PHIL0850-S01,PHIL0850,Philosophy of Language,994,999,Wilson Hall 205,M,46800,49800
Fall%202015,15080,PHIL0540-S01,PHIL0540,Logic,944,999,Wilson Hall 102,M,36000,39000
Fall%202015,15814,NEUR0010-S01,NEUR0010,The Brain: An Introduction to Neuroscience,654,999,Salomon Center DECI,T,46800,51600
Fall%202015,15897,NEUR1030-S01,NEUR1030,Neural Systems,885,999,85 Waterman Street 130,T,52200,57000
Fall%202015,15852,NEUR2030-S01,NEUR2030,Advanced Molecular and Cellular Neurobiology I,986,999,S. Frank Hall for Life Science 318,M,34200,44400
Fall%202015,16590,NEUR2010-S01,NEUR2010,Graduate Proseminar in Neuroscience,968,999,S. Frank Hall for Life Science MARC,R,57600,60600
Fall%202015,15951,MGRK0300-S01,MGRK0300,Intermediate Modern Greek,997,999,Wilbour Hall 102A,T,37800,42600
Fall%202015,15932,MGRK0100-S01,MGRK0100,Introduction to Modern Greek,994,999,J. Walter Wilson 501,M,43200,46200
Fall%202015,14874,MCM0110-S01,MCM0110,Theory and Analysis of Modern Culture and Media,939,999,Barus & Holley 168,M,46800,49800
Fall%202015,14951,KREA0100-S01,KREA0100,Korean,8,18,Sayles Hall 005,M,32400,35400
Fall%202015,14975,KREA0500-S01,KREA0500,Advanced Korean,14,18,Sayles Hall 104,M,46800,49800
Fall%202015,15055,KREA0910B-S01,KREA0910B,Media Korean,16,20,54 College St-Gerard House 302,T,37800,42600
Fall%202015,14952,KREA0100-S02,KREA0100,Korean,6,18,Sayles Hall 005,T,28800,31800
Fall%202015,14968,KREA0300-S01,KREA0300,Intermediate Korean,988,999,Sayles Hall 005,T,37800,42600
Fall%202015,14994,EAST0180-S01,EAST0180,"Japan: Nature, Ritual, and the Arts",981,999,Wilson Hall 105,T,52200,57000
Fall%202015,16283,EAST0500-S01,EAST0500,Childhood and Culture in Japan,12,20,J. Walter Wilson 301,W,54000,63000
Fall%202015,14986,EAST1510-S01,EAST1510,Chinese: A History of the Language,14,18,Rockefeller Library 205,W,54000,63000
Fall%202015,14992,EAST1270-S01,EAST1270,"China Through the Lens: History, Cinema, and Critical Discourse",22,30,Wilson Hall 105,T,46800,51600
Fall%202015,15306,EAST1950W-S01,EAST1950W,"Translating Korean: Fiction, Poetry, Film and K-Pop",14,20,J. Walter Wilson 201,R,57600,66600
Fall%202015,14849,EGYT1330-S01,EGYT1330,Selections from Middle Egyptian Hieroglyphic Texts,994,999,Wilbour Hall 201,T,32400,37200
Fall%202015,14848,EGYT1310-S01,EGYT1310,Introduction to Classical Hieroglyphic Egyptian Writing and Language (Middle Egyptian I),983,999,Sayles Hall 204,M,36000,39000
Fall%202015,15199,EGYT1430-S02,EGYT1430,History of Egypt I,975,999,Rhode Island Hall 108,M,39600,42600
Fall%202015,16751,EGYT2310-S01,EGYT2310,History of the Ancient Egyptian Language,996,999,Wilbour Hall 201,R,46800,57000
Fall%202015,17059,EGYT1525-S01,EGYT1525,"Living, Creating, Believing and Dying in the Village of the Royal Tomb Builders",996,999,Rockefeller Library 206,F,50400,60600
Fall%202015,15935,GREK0100-S01,GREK0100,Essentials of the Greek Language,991,999,Sayles Hall 204,T,43200,46200
Fall%202015,15923,GREK0300-S01,GREK0300,Introduction to Greek Literature,994,999,Wilson Hall 106,M,32400,35400
Fall%202015,15943,GREK1080-S01,GREK1080,Attic Orators,995,999,J. Walter Wilson 401,T,46800,51600
Fall%202015,16106,GREK1100B-S01,GREK1100B,Greek Bucolic Poetry ,996,999,Wilson Hall 306,T,37800,42600
Fall%202015,16258,GREK1110Z-S01,GREK1110Z,Greek Texts in the Postclassical Tradition,996,999,Sayles Hall 104,M,50400,53400
Fall%202015,15947,GREK1820-S01,GREK1820,Fifth Century Survey,992,999,Rockefeller Library B6,T,52200,57000
Fall%202015,15948,GREK2070B-S01,GREK2070B,Seminar: Hellenistic Poetry,36,40,48 College St-Macfarlane House 101,W,54000,63000
Fall%202015,14670,JUDS0090A-S01,JUDS0090A,Introduction to Biblical Hebrew,995,999,163 George Street 206,M,32400,35400
Fall%202015,14671,JUDS0100-S01,JUDS0100,Elementary Hebrew,9,20,Wilson Hall 305,M,46800,49800
Fall%202015,15077,JUDS0050M-S01,JUDS0050M,Difficult Relations? Judaism and Christianity from the Middle Ages until the Present,5,20,J. Walter Wilson 503,T,37800,42600
Fall%202015,14673,JUDS0500-S01,JUDS0500,Writing and Speaking Hebrew,12,20,Wilson Hall 305,T,52200,57000
Fall%202015,14677,JUDS0820-S01,JUDS0820,God and Poetry,12,20,Sayles Hall 306,M,36000,39000
Fall%202015,14672,JUDS0300-S01,JUDS0300,Intermediate Hebrew,11,20,Wilson Hall 305,M,43200,46200
Fall%202015,15078,JUDS0681-S01,JUDS0681,Great Jewish Books,39,40,Sayles Hall 104,W,54000,63000
Fall%202015,15670,ENVS0070C-S01,ENVS0070C,Transcending Transportation Impacts,2,20,11 Benevolent Street - Arnold LOUNGE,T,46800,51600
Fall%202015,15671,ENVS0070D-S01,ENVS0070D,The Misuse of Scientific Information in American Life,0,20,Urban Environmental Lab 106,T,52200,57000
Fall%202015,15672,ENVS0110-S01,ENVS0110,"Humans, Nature, and the Environment: Addressing Environmental Change in the 21st Century",928,999,MacMillan Hall 115,M,36000,39000
Fall%202015,15676,ENVS0510-S01,ENVS0510,International Environmental Law and Policy,972,999,Urban Environmental Lab 106,M,46800,49800
Fall%202015,15674,ENVS0455-S01,ENVS0455,Coastal Ecology and Conservation,8,15,80 Waterman St - Walter Hall 102,T,46800,51600
Fall%202015,15675,ENVS0490-S01,ENVS0490,Environmental Science in a Changing World,901,999,Kassar House FOX,T,37800,42600
Fall%202015,16254,ENVS1575-S01,ENVS1575,Engaged Climate Policy at the UN Climate Change Talks,0,12,Bldg for Environ. Rsch & Teach 207,M,54000,63000
Fall%202015,15678,ENVS1400-S01,ENVS1400,Sustainable Design in the Built Environment,1,24,Urban Environmental Lab 106,W,54000,63000
Fall%202015,15677,ENVS1350-S01,ENVS1350,Environmental Economics and Policy,973,999,Urban Environmental Lab 106,T,37800,42600
Fall%202015,16604,INTL1700-S01,INTL1700,International Law,955,999,Salomon Center 202,T,52200,57000
Fall%202015,16717,INTL1802G-S01,INTL1802G,Reading Global: International Relations through Fiction,-3,20,111 Thayer St-Watson Institute 114,M,54000,63000
Fall%202015,16592,INTL1443-S01,INTL1443,History of American Intervention,961,999,Bio Med Center B13,T,46800,51600
Fall%202015,17046,INTL1803-S01,INTL1803,"Risk, Regulation and the Comparative Politics of Finance",6,20,Wilson Hall 204,M,54000,63000
Fall%202015,16947,INTL1802O-S01,INTL1802O,"Global Corporate Accountability: Issues of Governance, Responsibility and NGOs",10,20,111 Thayer St-Watson Institute 138,T,57600,66600
Fall%202015,16769,INTL1802V-S01,INTL1802V,"Diplomacy, Economics & Influence",-3,20,111 Thayer St-Watson Institute 116,W,54000,63000
Fall%202015,16700,INTL1802Y-S01,INTL1802Y,India in the World,10,20,111 Thayer St-Watson Institute 116,T,57600,66600
Fall%202015,16813,INTL1910-S01,INTL1910,Senior Honors Seminar,36,40, ,W,66600,75600
Fall%202015,15928,SANS0300-S01,SANS0300,Sanskrit Epic Narrative,995,999,Wilbour Hall 005,M,54000,57000
Fall%202015,15933,SANS0100-S01,SANS0100,Elementary Sanskrit I,996,999,Wilson Hall 106,M,43200,46200
Fall%202015,15936,SANS1100-S01,SANS1100,Vedic Sanskrit,996,999,Wilson Hall 206,M,46800,49800
Fall%202015,14800,HNDI0100-S01,HNDI0100,Beginning Hindi or Urdu,984,999,Smith-Buonanno Hall 206,M,43200,46200
Fall%202015,14801,HNDI0300-S01,HNDI0300,Intermediate Hindi-Urdu,994,999, ,M,46800,49800
Fall%202015,15061,HIST0150A-S01,HIST0150A,History of Capitalism,866,999,Salomon Center 001,M,39600,42600
Fall%202015,15405,HIST0150C-S01,HIST0150C,Locked Up: A Global History of Prison and Captivity,896,999,Wilson Hall 102,T,46800,51600
Fall%202015,14896,HIST0286A-S01,HIST0286A,History of Medicine I: Medical Traditions in the Old World Before 1700,970,999,Smith-Buonanno Hall 201,M,32400,35400
Fall%202015,14917,HIST0521A-S01,HIST0521A,Christianity in Conflict in the Medieval Mediterranean,11,20,101 Thayer Street (VGQ 1st fl) 116A,T,52200,57000
Fall%202015,15409,HIST0522N-S01,HIST0522N,"Reason, Revolution and Reaction in Europe",3,20,11 Benevolent Street - Arnold LOUNGE,T,67200,72000
Fall%202015,15407,HIST0233-S01,HIST0233,Colonial Latin America,987,999,Sayles Hall 002,T,52200,57000
Fall%202015,16658,HIST0522O-S01,HIST0522O,The Enlightenment,9,20,J. Walter Wilson 503,R,57600,66600
Fall%202015,15408,HIST0252-S01,HIST0252,The American Civil War ,917,999,Bio Med Center 291,M,43200,46200
Fall%202015,14893,HIST0218-S01,HIST0218,The Making of Modern East Asia,987,999,Smith-Buonanno Hall G18,M,46800,49800
Fall%202015,14900,HIST0535A-S01,HIST0535A,Atlantic Pirates,3,20,Sayles Hall 105,M,54000,63000
Fall%202015,15017,POLS0010-S01,POLS0010,Introduction to the American Political Process,910,999,Barus & Holley 168,M,66600,71400
Fall%202015,15018,POLS0400-S01,POLS0400,Introduction to International Politics,801,999,Metcalf Research Building AUD,T,46800,51600
Fall%202015,15039,POLS0820Q-S01,POLS0820Q,Politics of American Federal Holidays,12,20,Sayles Hall 205,M,54000,63000
Fall%202015,16564,POLS1120-S01,POLS1120,Campaigns and Elections,937,999,List Art Center 120,T,32400,37200
Fall%202015,15512,POLS0820V-S01,POLS0820V,Land and Conflict,1,20,Rockefeller Library 412,R,57600,66600
Fall%202015,15019,POLS1010-S01,POLS1010,Topics in American Constitutional Law,932,999,Kassar House FOX,M,50400,53400
Fall%202015,15021,POLS1080-S01,POLS1080,Politics of Transportation Policy,996,999,Sayles Hall 205,M,30600,35400
Fall%202015,15022,POLS1150-S01,POLS1150,Prosperity: The Ethics and Economics of Wealth Creation,917,999,85 Waterman Street 015,M,46800,49800
Fall%202015,15510,POLS0820W-S01,POLS0820W,Bleeding Heart Libertarianism,1,20,J. Walter Wilson 401,W,54000,63000
Fall%202015,15024,POLS1220-S01,POLS1220,Politics of the Post-Soviet States,978,999,111 Thayer St-Watson Institute 116,T,52200,57000
Fall%202015,15837,GRMN0100-S03,GRMN0100,Beginning German,7,20,190 Hope Street 203,M,43200,46200
Fall%202015,15836,GRMN0100-S02,GRMN0100,Beginning German,5,20,190 Hope Street 203,M,39600,42600
Fall%202015,15835,GRMN0100-S01,GRMN0100,Beginning German,8,20,190 Hope Street 203,M,32400,35400
Fall%202015,15838,GRMN0100-S04,GRMN0100,Beginning German,13,20,Barus & Holley 163,T,43200,46200
Fall%202015,15969,GRMN1340P-S01,GRMN1340P,Franz Kafka,995,999,Rockefeller Library 206,T,46800,51600
Fall%202015,15971,GRMN1320L-S01,GRMN1320L,Weimarer Klassik,994,999,190 Hope Street 203,T,52200,57000
Fall%202015,15813,GRMN0500F-S01,GRMN0500F,Twentieth-Century German Culture,979,999,190 Hope Street 102,M,39600,42600
Fall%202015,16241,GRMN0750F-S01,GRMN0750F,Historical Crime Fiction ,10,20,190 Hope Street 203,T,37800,42600
Fall%202015,15839,GRMN0300-S01,GRMN0300,Intermediate German I,983,999,190 Hope Street 203,M,36000,39000
Fall%202015,15840,GRMN0300-S02,GRMN0300,Intermediate German I,982,999,Barus & Holley 160,R,43200,46200
Fall%202015,15665,LITR0110A-S02,LITR0110A,Fiction I,0,17,J. Walter Wilson 401,T,57600,66600
Fall%202015,15664,LITR0110A-S01,LITR0110A,Fiction I,-1,17,J. Walter Wilson 402,T,57600,66600
Fall%202015,15663,LITR0100B-S01,LITR0100B,Introduction to Poetry,3,17,J. Walter Wilson 201,M,63600,72600
Fall%202015,15662,LITR0100A-S01,LITR0100A,Introduction to Fiction,1,17,J. Walter Wilson 501,F,54000,63000
Fall%202015,15550,LITR0210A-S02,LITR0210A,Fiction Writing II,-5,10,Sayles Hall 300,T,57600,66000
Fall%202015,15843,LITR0110D-S01,LITR0110D,Digital Language Art I,3,17,70 Brown Street 130,R,43200,52200
Fall%202015,15669,LITR0110B-S03,LITR0110B,Poetry I,0,17,J. Walter Wilson 502,F,54000,63000
Fall%202015,15668,LITR0110B-S02,LITR0110B,Poetry I,2,17,Rockefeller Library A9,T,57600,66600
Fall%202015,15666,LITR0110A-S03,LITR0110A,Fiction I,0,17,Rockefeller Library A9,R,61200,70200
Fall%202015,14863,CROL0400-S01,CROL0400,Advanced Haitian Creole,19,20,J. Walter Wilson 201,W,66600,73800
Fall%202015,14862,CROL0300-S01,CROL0300,Advanced Intermediate Haitian Creole,15,18,J. Walter Wilson 202,M,66600,73800
Fall%202015,14861,CROL0100-S01,CROL0100,Basic Haitian Creole,10,18,Sayles Hall 305,M,54000,63000
Fall%202015,16904,ETHN1900N-S01,ETHN1900N,Transpacific Asian American Studies,9,17,CIT Center (Thomas Watson CIT) 210,R,68400,77400
Fall%202015,15919,ETHN1890R-S01,ETHN1890R,Latina Feminisms,-1,20,J. Walter Wilson 301,M,54000,63000
Fall%202015,15918,ETHN1890M-S01,ETHN1890M,Treaty Rights and Food Fights: Eating Local in Indian Country,977,999,J. Walter Wilson 202,T,52200,57000
Fall%202015,15916,ETHN0500-S01,ETHN0500,Introduction to American/Ethnic Studies,947,999,85 Waterman Street 015,M,39600,42600
Fall%202015,15915,ETHN1890E-S01,ETHN1890E,"Johnny, Are You Queer: Narratives of Race and Sexuality",913,999,Smith-Buonanno Hall 106,M,46800,49800
Fall%202015,16240,MES0155-S02,MES0155,Cultures of the Contemporary Middle East,961,999,Wilson Hall 309,T,57600,66600
Fall%202015,17049,MES0170-S01,MES0170,Visual Expressions of Social Change in the Contemporary Middle East,18,40,Rockefeller Library A9,M,54000,63000
Fall%202015,16671,MES1350-S01,MES1350,Israel/Palestine: The One State Condition ,38,40,Salomon Center 202,W,54000,63000
Fall%202015,16238,MES1999B-S01,MES1999B,Colonialism and Human Rights,3,20,Rockefeller Library 205,R,57600,66600
Fall%202015,15320,MATH0090-S03,MATH0090,"Introductory Calculus, Part I",9,30,Barus & Holley 161,M,43200,46200
Fall%202015,15322,MATH0090-S05,MATH0090,"Introductory Calculus, Part I",17,30,Barus & Holley 160,T,37800,42600
Fall%202015,15319,MATH0090-S02,MATH0090,"Introductory Calculus, Part I",854,999,Metcalf Research Building AUD,M,36000,39000
Fall%202015,15316,MATH0050-S01,MATH0050,Analytic Geometry and Calculus,982,999,Barus & Holley 155,T,32400,37200
Fall%202015,15321,MATH0090-S04,MATH0090,"Introductory Calculus, Part I",4,30,Barus & Holley 165,T,32400,37200
Fall%202015,15318,MATH0090-S01,MATH0090,"Introductory Calculus, Part I",18,30,Wilson Hall 304,M,32400,35400
Fall%202015,15957,GEOL0050-S01,GEOL0050,"Mars, Moon, and the Earth",833,999,MacMillan Hall 115,M,50400,53400
Fall%202015,15956,GEOL0030-S01,GEOL0030,Climate and Climate Change,975,999,MacMillan Hall 115,T,46800,51600
Fall%202015,15958,GEOL0220-S01,GEOL0220,Physical Processes in Geology,55,100,MacMillan Hall 115,M,39600,42600
Fall%202015,15963,GEOL1240-S01,GEOL1240,Stratigraphy and Sedimentation,981,999,Lincoln Field Building 209,T,37800,42600
Fall%202015,16558,GEOL0350-S01,GEOL0350,Mathematical Methods of Fluid and Solid Geophysics and Geology,21,28,Geo-Chemistry Building 039,M,39600,42600
Fall%202015,16789,SCSO1701C-S01,SCSO1701C,"The First Scientific Americans: Exploring Nature in Latin America, 1500-1800",38,40,Wilson Hall 106,M,54000,63000
Fall%202015,16312,SCSO1700P-S01,SCSO1700P,Neuroethics,-2,20,Alumnae Hall 212,T,57600,66600
Fall%202015,15485,HISP0100-S01,HISP0100,Basic Spanish,0,18,Wilson Hall 303,M,32400,35400
Fall%202015,15488,HISP0100-S04,HISP0100,Basic Spanish,12,18,Smith-Buonanno Hall G01,M,30600,35400
Fall%202015,15487,HISP0100-S03,HISP0100,Basic Spanish,7,18,Wilson Hall 303,M,46800,49800
Fall%202015,15490,HISP0300-S01,HISP0300,Intermediate Spanish I,12,18,Smith-Buonanno Hall 101,M,32400,35400
Fall%202015,15486,HISP0100-S02,HISP0100,Basic Spanish,1,18,Wilson Hall 303,M,36000,39000
Fall%202015,15491,HISP0300-S02,HISP0300,Intermediate Spanish I,1,18,Smith-Buonanno Hall 101,M,36000,39000
Fall%202015,15489,HISP0110-S01,HISP0110,Intensive Basic Spanish,7,18,Smith-Buonanno Hall G18,M,32400,39000
Fall%202015,15492,HISP0300-S03,HISP0300,Intermediate Spanish I,8,18,Wilson Hall 109,M,43200,46200
Fall%202015,15493,HISP0300-S04,HISP0300,Intermediate Spanish I,4,18,Wilson Hall 103,M,46800,49800
Fall%202015,15514,HISP0400-S01,HISP0400,Intermediate Spanish II,12,18,Wilson Hall 109,M,50400,53400
Fall%202015,16877,DEVL1810-S01,DEVL1810,Information Technology and Governance,11,20,111 Thayer St-Watson Institute 138,W,54000,63000
Fall%202015,16701,DEVL1550-S01,DEVL1550,The Political Economy of African Development,982,999,111 Thayer St-Watson Institute 114,T,46800,51600
Fall%202015,16876,DEVL1980-S01,DEVL1980,Thesis Writing in Development Studies,31,40,111 Thayer St-Watson Institute 114,F,54000,63000
Fall%202015,16858,DEVL2000-S01,DEVL2000,Theory and Research in Development I,29,40,Maxcy Hall 108,R,50400,61200
Fall%202015,15104,BEO1930A-S01,BEO1930A,BEO Capstone I: Organizational Studies Track,960,999,MacMillan Hall 115,T,52200,57000
Fall%202015,15106,BEO1930C-S01,BEO1930C,BEO Capstone I: Business Economics Track,955,999,Wilson Hall 101,T,52200,57000
Fall%202015,15105,BEO1930B-S01,BEO1930B,BEO Capstone I: Entrepreneurship and Technology Management Track,987,999,Barus & Holley 158,T,52200,57000
Fall%202015,15565,FREN0100-S01,FREN0100,Basic French,6,18,111 Thayer St-Watson Institute 116,M,32400,35400
Fall%202015,15566,FREN0100-S02,FREN0100,Basic French,8,18,J. Walter Wilson 502,M,36000,39000
Fall%202015,15567,FREN0100-S03,FREN0100,Basic French,9,18,Wilson Hall 305,T,32400,37200
Fall%202015,15568,FREN0100-S04,FREN0100,Basic French,4,18,Wilson Hall 305,T,37800,42600
Fall%202015,16958,FREN0100-S06,FREN0100,Basic French,6,18,Wilson Hall 103,M,43200,46200
Fall%202015,15578,FREN0500-S02,FREN0500,Writing and Speaking French I,0,18,Smith-Buonanno Hall 206,M,36000,39000
Fall%202015,15575,FREN0400-S02,FREN0400,Intermediate French II,9,18,Wilson Hall 205,M,43200,46200
Fall%202015,15577,FREN0500-S01,FREN0500,Writing and Speaking French I,11,18,Smith-Buonanno Hall 206,M,32400,35400
Fall%202015,15576,FREN0400-S03,FREN0400,Intermediate French II,9,18,Wilson Hall 105,M,46800,49800
Fall%202015,15574,FREN0400-S01,FREN0400,Intermediate French II,6,18,Wilson Hall 103,M,36000,39000
Fall%202015,14942,JAPN0100-S01,JAPN0100,Basic Japanese,-4,18,111 Thayer St-Watson Institute 112,M,32400,35400
Fall%202015,14955,JAPN0100-S02,JAPN0100,Basic Japanese,-4,18,111 Thayer St-Watson Institute 112,M,36000,39000
Fall%202015,14972,JAPN0300-S02,JAPN0300,Intermediate Japanese,-3,18,111 Thayer St-Watson Institute 138,M,43200,46200
Fall%202015,14966,JAPN0150-S01,JAPN0150,Advanced Beginning Japanese,15,18,111 Thayer St-Watson Institute 116,T,32400,37200
Fall%202015,14974,JAPN0100-S03,JAPN0100,Basic Japanese,5,18,111 Thayer St-Watson Institute 112,M,46800,49800
Fall%202015,14965,JAPN0300-S01,JAPN0300,Intermediate Japanese,9,18,111 Thayer St-Watson Institute 138,T,37800,42600
Fall%202015,14985,JAPN1310-S01,JAPN1310,Japanese Linguistics: Communication and Understanding Utterances,14,20,J. Walter Wilson 403,M,54000,63000
Fall%202015,14982,JAPN0910B-S01,JAPN0910B,Japanese Cities: Tokyo and Kyoto,16,20,Wilson Hall 109,F,54000,63000
Fall%202015,14963,JAPN0500-S01,JAPN0500,Advanced Japanese I,11,18,111 Thayer St-Watson Institute 116,M,36000,39000
Fall%202015,14979,JAPN0700-S01,JAPN0700,Advanced Japanese II,993,999,111 Thayer St-Watson Institute 138,M,50400,53400
Fall%202015,16570,HIAA0075-S02,HIAA0075,Introduction to the History of Art: Modern Photography,188,225,List Art Center 110,M,39600,42600
Fall%202015,16275,HIAA0321-S01,HIAA0321,Toward a Global Late Antiquity:200-800 CE,989,999,List Art Center 210,T,32400,37200
Fall%202015,17110,HIAA0830-S01,HIAA0830,Revolutionary Forms:  100 Years of Art and Politics in Latin America,980,999,List Art Center 220,T,52200,57000
Fall%202015,17174,HIAA1201-S01,HIAA1201,Brushwork: Chinese Painting in Time,4,20,List Art Center 210,F,54000,63000
Fall%202015,14855,HIAA0870-S01,HIAA0870,20th Century British Art: Edwardian to Contemporary,971,999,List Art Center 120,T,46800,51600
Fall%202015,16271,HIAA1302-S01,HIAA1302,Women and Families in the Ancient Mediterranean,9,20,List Art Center 110,T,57600,66600
